id_clima,id_municipio,fecha,cielo,t_max,t_min,prob_prec,velocidad_viento,direccion_viento
167,1936,2024-11-28,Despejado,26.40,9.10,0.00,5.70,Noroeste
168,1936,2024-11-29,Despejado,25.40,8.70,0.00,6.40,Norte
169,802,2024-11-26,Despejado,23.30,6.10,0.00,7.10,Norte
170,802,2024-11-27,Despejado,24.00,6.10,0.00,4.20,Noroeste
171,802,2024-11-28,Despejado,25.80,9.00,0.00,5.40,Norte
172,802,2024-11-29,Despejado,24.50,8.20,0.00,6.10,Norte
173,854,2024-11-26,Despejado,23.70,6.40,0.00,7.20,Norte
174,854,2024-11-27,Despejado,23.90,6.30,0.00,5.30,Noroeste
175,854,2024-11-28,Despejado,25.70,9.10,0.00,6.30,Norte
176,854,2024-11-29,Despejado,24.90,8.60,0.00,6.60,Norte
177,1357,2024-11-26,Despejado,22.10,7.60,0.00,4.70,Noreste
178,1357,2024-11-27,Despejado,24.80,7.50,0.00,3.00,Oeste
179,1357,2024-11-28,Despejado,27.70,10.50,0.00,4.20,Noreste
180,1357,2024-11-29,Despejado,23.40,10.10,0.00,5.00,Este
181,328,2024-11-26,Despejado,21.00,6.00,0.00,4.70,Noreste
182,328,2024-11-27,Despejado,23.70,5.90,0.00,4.30,Suroeste
183,328,2024-11-28,Despejado,26.50,9.30,0.00,3.00,Sureste
184,328,2024-11-29,Despejado,22.40,8.20,0.00,4.70,Noreste
185,516,2024-11-26,Despejado,19.60,5.60,0.00,6.60,Oeste
186,516,2024-11-27,Despejado,23.50,5.90,0.00,7.00,Suroeste
187,516,2024-11-28,Despejado,27.10,8.30,0.00,5.40,Suroeste
188,516,2024-11-29,Despejado,20.80,7.80,0.00,5.80,Oeste
189,1384,2024-11-26,Despejado,24.30,8.00,0.00,11.30,Norte
190,1384,2024-11-27,Despejado,24.30,7.80,0.00,7.90,Norte
191,1384,2024-11-28,Despejado,25.30,11.00,0.00,8.00,Norte
192,1384,2024-11-29,Despejado,25.50,10.50,0.00,8.10,Norte
193,1885,2024-11-26,Despejado,18.80,4.80,0.00,8.70,Noreste
194,1885,2024-11-27,Despejado,22.90,4.60,0.00,4.50,Oeste
195,1885,2024-11-28,Despejado,24.50,7.70,0.00,4.70,Norte
196,1885,2024-11-29,Despejado,20.80,6.40,0.00,7.90,Noreste
197,1523,2024-11-26,Despejado,19.80,5.80,0.00,6.80,Oeste
198,1523,2024-11-27,Despejado,23.70,6.00,0.00,6.70,Suroeste
199,1523,2024-11-28,Despejado,27.10,8.50,0.00,5.20,Oeste
200,1523,2024-11-29,Despejado,21.00,8.00,0.00,6.00,Oeste
201,1147,2024-11-26,Despejado,23.90,8.30,0.00,10.40,Norte
202,1147,2024-11-27,Despejado,24.00,8.10,0.00,7.20,Norte
203,1147,2024-11-28,Despejado,25.10,11.00,0.00,7.40,Norte
204,1147,2024-11-29,Despejado,25.00,10.50,0.00,7.40,Norte
205,1417,2024-11-26,Despejado,22.80,8.00,0.00,8.20,Noreste
206,1417,2024-11-27,Despejado,24.90,7.90,0.00,3.30,Sureste
207,1417,2024-11-28,Despejado,26.40,11.10,0.00,5.30,Este
208,1417,2024-11-29,Despejado,24.70,9.70,0.00,7.60,Noreste
209,390,2024-11-26,Despejado,22.20,5.10,0.00,8.00,Norte
210,390,2024-11-27,Despejado,24.30,5.20,0.00,2.00,Noreste
211,390,2024-11-28,Despejado,25.90,8.30,0.00,3.70,Noreste
212,390,2024-11-29,Despejado,23.80,7.20,0.00,6.70,Norte
213,1101,2024-11-26,Despejado,24.20,7.30,0.00,7.80,Norte
214,1101,2024-11-27,Despejado,25.50,7.00,0.00,4.70,Noroeste
215,1101,2024-11-28,Despejado,27.20,9.80,0.00,4.80,Sur
216,1101,2024-11-29,Despejado,25.80,9.80,0.00,6.90,Norte
217,1772,2024-11-26,Despejado,24.60,6.40,0.00,7.20,Norte
218,1772,2024-11-27,Despejado,24.80,6.30,0.00,5.20,Noroeste
219,1772,2024-11-28,Despejado,26.60,9.20,0.00,5.60,Noroeste
220,1772,2024-11-29,Despejado,25.50,8.80,0.00,6.40,Norte
221,1753,2024-11-26,Despejado,19.80,6.50,0.00,11.10,Este
222,1753,2024-11-27,Despejado,24.50,6.60,0.00,3.30,Noreste
223,1753,2024-11-28,Despejado,26.00,8.60,0.00,4.80,Este
224,1753,2024-11-29,Despejado,21.60,8.00,0.00,11.10,Este
225,2134,2024-11-26,Despejado,19.60,5.00,0.00,8.90,Noreste
226,2134,2024-11-27,Despejado,23.10,4.90,0.00,4.30,Oeste
227,2134,2024-11-28,Despejado,24.40,7.70,0.00,4.60,Sureste
228,2134,2024-11-29,Despejado,21.40,6.90,0.00,7.90,Noreste
229,1035,2024-11-26,Despejado,24.10,13.20,0.00,7.60,Sur
230,1035,2024-11-27,Despejado,25.20,13.50,0.00,7.90,Sur
231,1035,2024-11-28,Despejado,28.00,15.50,0.00,6.70,Suroeste
