cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
84.53,Despejado,6,Noroeste,315.0,2024-11-27,20,389,16.8087,-96.7563,1,Oaxaca,Santa Inés Yatzeche,0.0,0,8.3,25.2,6.6,5.1
88.49,Despejado,6,Noroeste,315.0,2024-11-28,20,389,16.8087,-96.7563,2,Oaxaca,Santa Inés Yatzeche,0.0,0,8.7,26.9,9.5,5.4
56.44,Despejado,6,Norte,0.0,2024-11-29,20,389,16.8087,-96.7563,3,Oaxaca,Santa Inés Yatzeche,0.0,0,10.2,25.7,9.3,6.9
78.01,Despejado,6,Norte,0.0,2024-11-26,20,393,16.7422,-96.6804,0,Oaxaca,Santa Lucía Ocotlán,0.0,0,12.4,24.5,7.3,7.6
85.95,Despejado,6,Noroeste,315.0,2024-11-27,20,393,16.7422,-96.6804,1,Oaxaca,Santa Lucía Ocotlán,0.0,0,8.3,25.4,7.1,4.7
89.74,Despejado,6,Noroeste,315.0,2024-11-28,20,393,16.7422,-96.6804,2,Oaxaca,Santa Lucía Ocotlán,0.0,0,8.7,27.1,10.0,4.3
57.3,Despejado,6,Norte,0.0,2024-11-29,20,393,16.7422,-96.6804,3,Oaxaca,Santa Lucía Ocotlán,0.0,0,10.2,25.7,9.7,7.0
59.36,Despejado,6,Suroeste,225.0,2024-11-26,20,396,18.1082,-96.8194,0,Oaxaca,Santa María la Asunción,0.0,0,13.7,22.8,8.4,4.9
86.49,Despejado,6,Suroeste,225.0,2024-11-27,20,396,18.1082,-96.8194,1,Oaxaca,Santa María la Asunción,0.0,0,16.6,25.1,8.1,5.3
88.43,Despejado,6,Suroeste,225.0,2024-11-28,20,396,18.1082,-96.8194,2,Oaxaca,Santa María la Asunción,0.0,0,19.8,27.8,11.0,2.9
