id_municipio,id_estado,nombre_municipio
391,8,San Miguel del Río
392,2,Huehuetán
393,30,Miacatlán
394,27,Ocuilan
395,31,Montemorelos
396,9,Naupan
397,29,General Plutarco Elías Calles
398,13,San Damián Texóloc
399,8,Santiago Matatlán
400,2,Frontera Comalapa
401,8,San Antonio Tepetlapa
402,4,Zaragoza
403,4,Playa Vicente
404,4,Ignacio de la Llave
405,10,Homún
406,9,Tepango de Rodríguez
407,11,Jiménez
408,29,Divisaderos
409,31,Bustamante
410,8,La Pe
411,8,Santa Magdalena Jicotlán
412,20,Villa de Álvarez
413,5,Valle de Zaragoza
414,8,Tepelmeme Villa de Morelos
415,8,Santa Catarina Lachatao
416,28,Juan Aldama
417,28,Huanusco
418,2,Suchiate
419,31,Ciénega de Flores
420,2,Bejucal de Ocampo
421,22,Taxco de Alarcón
422,7,Chiquilistlán
423,31,China
424,4,Yanga
425,3,Villa de la Paz
426,3,Tamazunchale
427,2,Rayón
428,8,Asunción Cuyotepeji
429,8,San Juan Chicomezúchil
430,9,Tilapa
431,8,Monjas
432,8,Santa Ana Cuauhtémoc
433,24,Santa Catarina
434,8,San Pedro Molinos
435,10,Sanahcat
436,19,Tlahuelilpan
437,8,Matías Romero Avendaño
438,9,Olintla
439,8,Nazareno Etla
440,8,Santa María Cortijo
441,8,Santiago Comaltepec
442,8,San Juan Diuxi
443,8,San Andrés Nuxiño
444,20,Ixtlahuacán
445,1,Parras
446,19,Juárez Hidalgo
447,10,Tixcacalcupul
448,7,Jamay
449,20,Tecomán
450,7,Lagos de Moreno
451,7,Guadalajara
452,5,Temósachic
453,9,Santiago Miahuatlán
454,8,San Pedro Ixtlahuaca
455,2,Ocotepec
456,11,Tangancícuaro
457,4,Poza Rica de Hidalgo
458,2,Maravilla Tenejapa
459,29,Huépac
460,8,San Dionisio del Mar
461,28,Tlaltenango de Sánchez Román
462,3,Ciudad Fernández
463,9,Tepeyahualco
464,8,Santa Marí Yucuhiti
465,11,Senguio
466,9,Santa Inés Ahuatempan
467,28,Trancoso
468,5,Ascensión
469,21,Victoria
470,29,Ures
471,8,Santa Marí Ozolotepec
472,4,Jalcomulco
473,8,Santiago Atitlán
474,19,Tecozautla
475,8,Santo Domingo Xagacía
476,7,San Sebastián del Oeste
477,8,San Jorge Nuchita
478,15,Mulegé
479,4,San Rafael
480,27,Hueypoxtla
481,9,Caltepec
482,4,Maltrata
483,27,Atizapán de Zaragoza
484,1,Ocampo
485,7,Atemajac de Brizuela
486,29,Trincheras
487,28,General Enrique Estrada
488,8,Santo Domingo Yanhuitlán
489,7,Ojuelos de Jalisco
490,30,Amacuzac
491,8,San Juan Teitipac
492,9,Chichiquila
493,8,San Pedro Atoyac
494,8,San Juan Cieneguilla
495,11,Angangueo
496,10,Panabá
497,19,Pisaflores
498,27,Juchitepec
499,8,Natividad
500,11,Tuzantla
501,32,Nacajuca
502,4,Huayacocotla
503,9,Ixtacamaxtitlán
504,8,Magdalena Teitipac
505,8,San Pedro Cajonos
506,10,Muxupip
507,8,Villa de Chilapa de Díaz
508,8,San Andrés Yaá
509,3,Villa de Arista
510,27,Coatepec Harinas
511,22,Huitzuco de los Figueroa
512,8,San Pedro Huilotepec
513,10,San Felipe
514,8,San Miguel Tlacamama
515,9,Tehuitzingo
516,8,Santa Marí Yalina
517,30,Zacualpan de Amilpas
518,19,Tetepango
519,28,Luis Moya
520,21,Tula
521,7,Sayula
522,4,Magdalena
523,22,Ajuchitlán del Progreso
524,8,Santa Marí Xadani
525,8,San Juan Chilateca
526,22,Copalillo
527,30,Tepalcingo
528,27,Coacalco de Berriozábal
529,2,Escuintla
530,4,Alpatláhuac
531,2,Copainalá
532,9,Tlachichuca
533,8,Santiago Ixcuintepec
534,27,Tlalnepantla de Baz
535,27,Valle de Chalco Solidaridad
